Date,Open,High,Low,Close,Adj Close,Volume
2013-07-01,1550.000000,1670.000000,1430.000000,1650.000000,862.826721,3102620000
2013-08-01,1640.000000,1690.000000,1250.000000,1320.000000,690.261230,5066967500
2013-09-01,1320.000000,1730.000000,1240.000000,1450.000000,758.241577,4741340000
2013-10-01,1450.000000,1700.000000,1450.000000,1580.000000,826.221863,3414990000
2013-11-01,1580.000000,1610.000000,1440.000000,1490.000000,779.158569,3075445000
2013-12-01,1510.000000,1550.000000,1350.000000,1450.000000,758.241577,2558940000
2014-01-01,1450.000000,1770.000000,1400.000000,1665.000000,870.670471,4047180500
2014-02-01,1665.000000,1970.000000,1625.000000,1855.000000,970.026245,4433752000
2014-03-01,1850.000000,2100.000000,1805.000000,1915.000000,1001.401794,4016940980
2014-04-01,1950.000000,2050.000000,1870.000000,1980.000000,1035.391846,3768877000
2014-05-01,1980.000000,2210.000000,1980.000000,2040.000000,1227.517212,2393950000
2014-06-01,2060.000000,2080.000000,1970.000000,2065.000000,1242.560303,2877657000
2014-07-01,2075.000000,2440.000000,2020.000000,2240.000000,1347.862061,3555361500
2014-08-01,2240.000000,2275.000000,2120.000000,2210.000000,1329.810303,3212324500
2014-09-01,2210.000000,2235.000000,2030.000000,2085.000000,1254.594727,3310124500
2014-10-01,2150.000000,2215.000000,2000.000000,2215.000000,1332.818970,3691887500
2014-11-01,2220.000000,2310.000000,2120.000000,2305.000000,1386.974243,1785574000
2014-12-01,2300.000000,2345.000000,2200.000000,2330.000000,1402.017212,2263902000
2015-01-01,2330.000000,2420.000000,2265.000000,2335.000000,1405.025879,2732303500
2015-02-01,2335.000000,2610.000000,2320.000000,2575.000000,1549.439697,3267502000
2015-03-01,2575.000000,2655.000000,2520.000000,2655.000000,1597.577637,2290861500
2015-04-01,2655.000000,2690.000000,2250.000000,2325.000000,1576.001831,3060976500
2015-05-01,2325.000000,2550.000000,2280.000000,2355.000000,1596.337280,2737255000
2015-06-01,2345.000000,2355.000000,2010.000000,2070.000000,1403.150024,3899353000
2015-07-01,2070.000000,2180.000000,1860.000000,2000.000000,1355.700439,2812519000
2015-08-01,2025.000000,2175.000000,1805.000000,2125.000000,1440.431763,3204326500
